ID,Tweet_ID,Isi_Tweet,Tanggal_Tweet,Kandidat,Aplikasi,Lokasi User,Sentimen,,,,
-2145271396,ngobush2,"Biusnya habis ! RT""@eddies_song: Dahlan Iskan semakin gak jls @despar54: Capres Dahlan Iskan @Lili_Wilson @Re_bonjav @yusdiusman @sakezya99""",2/27/2014 11:14,None,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,-1,,,,
-2142205130,PrastBennington,"Presiden Prabowo ,Presiden Terakhir Indonesia",2/18/2014 6:40,None,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,1,,,,
-2136862541,cv_aming,"@republikaonline masa capres prabowo bergitu bodoh sampai ngecap uang ? ngak mungkinlah.gawat klo bener, berarti ngak ngerti hukum",2/6/2014 14:06,None,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,-1,,,,
-2135423620,sandyardi1,"Kalo kata bapak capres ARB, kita harus ""berani berfikir, berani bermimpi, dan berani bertindak"" ITU!!!",9/15/2013 11:30,Aburizal,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",Old Trafford,1,,,,
-2134906278,Yuunnii_11,"RT @DhafaRizky_: Najis,org gila doang yg dukung @farhatabbaslaw jdi presiden!Jokowi lbih baik",9/10/2013 10:55,Jokowi,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",,-1,,,,
-2134231292,TuitJakarta,#TuitJakarta Rakernas PAN Tidak Bahas Pencalonan Presiden Hatta Rajasa #Jakarta #Tuit,8/22/2013 10:22,Hatta,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>",Sosial Tuit Regional Jakarta,-1,,,,
-2128935692,AryundaRW,"Nyata,anaknya aja cantik :) ""@ekapsss: Capres Wiranto kayaknya pas muda ganteng ya ngga sih?""",8/26/2013 13:42,Wiranto,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Samarinda - Yogyakarta,1,,,,
-2126904750,semiaji_w,"@_Derita_Rakyat @IniBang_Is Hehe,waktu masih Kolonel,Pramono Edhie Ajudan Presiden Megawati tuuh,lupa neh doi",2/23/2014 13:01,None,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,-1,,,,
-2124433484,wirantoRI,"RT @PROREPUBLIK: Gak sirik, tp aneh,pigur Capres Wiranto-HT ngurusi non kebangsaan ""@syakilaayana: @maman991 @wiranto1947 ente sirik pasti ...",9/9/2013 3:47,Wiranto,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",,-1,,,,
-2123415245,JokowiRI_2014,"RT @andrewmuntu: 2014, kalau bapak maju capres ""@jokowi_do2: Teruslah...sampai suatu saat tiba, sekali waktu, entah kapan...pasti datang ke ",8/19/2013 17:45,Jokowi,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",Istana Rakyat,1,,,,
